Threat,WarTerms,Keywords,Links
0,6,5,5
0,3,5,8
0,5,8,7
0,4,7,4
0,5,5,2
1,12,4,3
0,4,4,3
0,4,11,9
1,3,4,7
0,4,6,8
1,10,4,0
1,4,6,7
0,4,9,0
1,3,55,4
1,3,5,10
0,5,4,3
1,4,17,6
0,4,8,1
0,6,6,6
0,3,78,3
1,4,4,10
1,4,4,5
0,3,4,8
1,9,6,6
1,8,6,9
1,4,40,5
1,3,4,9
1,3,178,8
0,4,4,3
1,3,4,7
1,3,4,4
1,3,5,7
0,4,8,1
0,3,26,2
0,3,7,2
1,4,19,3
0,6,4,3
1,6,10,2
0,3,4,1
0,3,6,3
0,3,5,1
1,19,4,2
0,3,127,4
1,4,5,8
0,3,20,3
1,11,5,7
1,3,14,9
0,5,4,1
0,5,4,5
1,4,11,8
1,6,5,1
1,6,10,6
1,4,4,7
0,3,5,1
1,11,4,6
1,4,5,5
1,4,6,8
1,9,4,6
1,3,5,5
1,6,6,8
1,5,23,7
0,3,4,3
0,3,4,0
0,3,4,0
0,3,6,6
0,3,5,9
0,3,4,6
1,5,14,9
1,50,4,9
1,3,61,10
0,3,6,0
1,7,4,8
1,8,4,7
0,7,4,3
1,5,4,5
0,4,4,2
0,7,6,1
1,5,4,9
1,8,4,7
0,3,4,3
0,3,15,1
0,3,33,2
0,4,88,1
1,3,7,8
0,3,4,2
1,9,5,8
1,5,99,3
1,4,5,3
0,4,5,3
1,19,19,1
1,4,5,7
1,6,4,10
0,4,7,3
1,3,4,10
0,3,8,6
1,8,5,10
0,4,5,1
1,24,5,1
1,5,13,5
1,4,4,3
1,9,4,8
1,4,4,1
1,4,23,3
1,10,5,5
1,7,5,7
0,7,4,1
1,5,18,9
0,4,9,4
1,4,5,9
0,3,7,6
0,3,4,8
1,7,43,5
0,4,4,0
1,9,4,9
1,3,5,2
1,4,6,6
0,9,4,2
1,10,4,4
1,4,7,6
1,3,4,9
1,3,4,3
1,7,8,6
1,5,4,3
1,4,5,5
0,5,4,10
0,8,14,1
0,3,4,6
1,4,4,3
1,4,5,2
1,11,4,5
1,5,100,8
1,6,4,4
0,3,5,4
1,3,7,3
0,3,16,7
0,5,10,0
1,10,4,9
1,6,10,3
1,3,13,3
1,3,17,9
1,3,6,2
1,5,4,4
0,5,4,2
1,11,9,8
0,3,107,1
1,18,21,9
0,4,4,3
1,4,4,6
0,16,4,1
0,3,4,4
0,3,19,1
1,4,4,6
1,7,118,3
0,5,6,5
1,3,5,3
0,3,5,10
0,4,8,5
1,16,5,10
0,3,9,7
0,3,4,3
0,5,9,6
1,8,5,9
1,5,7,0
0,3,12,9
0,3,6,5
0,3,4,1
1,9,12,8
0,4,5,7
1,3,5,1
1,3,6,5
0,4,4,2
0,5,8,8
0,4,11,8
1,7,5,9
1,5,7,8
0,6,4,2
0,4,4,6
0,4,5,5
1,7,4,7
0,4,10,3
1,3,5,10
1,11,4,5
1,4,5,7
1,4,4,7
1,3,5,7
1,3,10,8
0,3,8,3
0,6,8,4
1,3,4,9
0,7,5,0
1,6,7,8
1,4,5,9
0,3,21,7
0,3,5,5
0,7,6,9
1,8,5,6
1,5,6,8
1,5,4,4
0,3,5,8
1,3,5,3
1,4,4,9
1,3,7,9
0,5,4,3
1,4,5,6
1,9,11,4
1,5,4,8
1,3,7,10
1,5,4,2
0,3,6,1
0,5,4,2
1,4,7,3
0,3,4,1
0,6,6,4
1,13,4,3
1,4,9,5
1,5,5,7
1,3,4,8
1,4,7,5
0,6,5,2
1,8,5,3
0,4,7,2
0,3,4,6
1,7,109,9
0,5,7,8
1,4,45,8
1,4,5,7
0,4,4,9
0,6,78,0
0,5,4,4
1,3,4,7
1,3,5,8
1,15,4,7
0,4,12,6
1,4,4,5
0,5,4,0
0,4,5,3
0,4,5,8
1,7,4,6
1,10,4,1
1,5,7,9
0,3,5,6
1,22,8,7
1,15,4,4
0,3,5,2
1,4,6,4
1,4,303,7
1,4,4,9
1,5,6,4
1,5,5,5
0,3,10,2
0,4,4,6
1,3,26,5
0,4,16,5
0,4,11,1
0,3,9,5
0,5,5,1
1,5,5,8
0,5,6,0
1,11,4,7
0,4,4,6
1,5,5,10
1,5,146,8
0,4,8,2
1,8,4,8
0,3,5,5
0,3,10,1
1,7,4,8
1,3,16,9
0,3,6,9
1,10,17,1
0,4,5,7
1,5,4,3
0,3,4,2
1,4,19,2
0,5,4,7
1,3,5,8
1,6,20,9
0,3,6,3
0,4,4,2
0,6,5,4
1,3,4,9
1,5,5,4
0,3,6,4
1,6,6,10
0,3,4,1
1,4,8,9
1,6,4,9
1,3,4,8
1,3,5,8
1,5,4,6
1,6,5,5
1,4,5,7
1,4,43,8
0,7,8,4
0,6,4,7
1,4,8,7
1,3,10,6
0,4,7,3
0,3,10,0
1,4,4,2
